descriptorID	number	name	uniqueID
539	A02.835.232.781.324.502.125	Alveolar Process	D000539
20390	A02.835.232.781.324.502.125.800	Tooth Socket	D020390
3724	A02.835.232.781.324.502.320	Dental Arch	D003724
8334	A02.835.232.781.324.502.632	Mandible	D008334
2680	A02.835.232.781.324.502.632.130	Chin	D002680
8335	A02.835.232.781.324.502.632.600	Mandibular Condyle	D008335
8437	A02.835.232.781.324.502.645	Maxilla	D008437
21362	A02.835.232.781.324.502.660	Palate, Hard	D021362
9295	A02.835.232.781.324.665	Nasal Bone	D009295
9915	A02.835.232.781.324.690	Orbit	D009915
14420	A02.835.232.781.324.948	Turbinates	D014420
55172	A02.835.232.781.324.971	Vomer	D055172
15050	A02.835.232.781.324.995	Zygoma	D015050
5624	A02.835.232.781.375	Frontal Bone	D005624
9777	A02.835.232.781.572	Occipital Bone	D009777
5539	A02.835.232.781.572.434	Foramen Magnum	D005539
10294	A02.835.232.781.651	Parietal Bone	D010294
19291	A02.835.232.781.750	Skull Base	D019291
35262	A02.835.232.781.750.150	Cranial Fossa, Anterior	D035262
35301	A02.835.232.781.750.165	Cranial Fossa, Middle	D035301
3388	A02.835.232.781.750.400	Cranial Fossa, Posterior	D003388
13100	A02.835.232.781.802	Sphenoid Bone	D013100
12658	A02.835.232.781.802.662	Sella Turcica	D012658
13701	A02.835.232.781.885	Temporal Bone	D013701
8416	A02.835.232.781.885.444	Mastoid	D008416
10579	A02.835.232.781.885.681	Petrous Bone	D010579
13131	A02.835.232.834	Spine	D013131
2574	A02.835.232.834.151	Cervical Vertebrae	D002574
1270	A02.835.232.834.151.213	Cervical Atlas	D001270
1368	A02.835.232.834.151.383	Axis	D001368
9809	A02.835.232.834.151.383.668	Odontoid Process	D009809
3050	A02.835.232.834.229	Coccyx	D003050
7403	A02.835.232.834.432	Intervertebral Disk	D007403
8159	A02.835.232.834.519	Lumbar Vertebrae	D008159
12447	A02.835.232.834.717	Sacrum	D012447
13115	A02.835.232.834.803	Spinal Canal	D013115
4824	A02.835.232.834.803.350	Epidural Space	D004824
13904	A02.835.232.834.892	Thoracic Vertebrae	D013904
13909	A02.835.232.904	Thorax	D013909
12272	A02.835.232.904.567	Ribs	D012272
13249	A02.835.232.904.766	Sternum	D013249
8371	A02.835.232.904.766.442	Manubrium	D008371
14989	A02.835.232.904.766.825	Xiphoid Bone	D014989
7596	A02.835.583	Joints	D007596
173	A02.835.583.032	Acromioclavicular Joint	D000173
1268	A02.835.583.097	Atlanto-Axial Joint	D001268
1269	A02.835.583.101	Atlanto-Occipital Joint	D001269
2061	A02.835.583.156	Bursa, Synovial	D002061
2358	A02.835.583.192	Cartilage, Articular	D002358
4551	A02.835.583.290	Elbow Joint	D004551
33023	A02.835.583.378	Foot Joints	D033023
843	A02.835.583.378.062	Ankle Joint	D000843
8683	A02.835.583.378.531	Metatarsophalangeal Joint	D008683
13640	A02.835.583.378.831	Tarsal Joints	D013640
13380	A02.835.583.378.831.780	Subtalar Joint	D013380
14033	A02.835.583.378.900	Toe Joint	D014033
50823	A02.835.583.405	Hand Joints	D050823
50824	A02.835.583.405.174	Carpal Joints	D050824
52737	A02.835.583.405.200	Carpometacarpal Joints	D052737
5384	A02.835.583.405.350	Finger Joint	D005384
8662	A02.835.583.405.500	Metacarpophalangeal Joint	D008662
53401	A02.835.583.405.500.900	Volar Plate	D053401
14955	A02.835.583.405.930	Wrist Joint	D014955
51478	A02.835.583.405.930.800	Triangular Fibrocartilage	D051478
6621	A02.835.583.411	Hip Joint	D006621
17746	A02.835.583.443	Joint Capsule	D017746
13583	A02.835.583.443.800	Synovial Membrane	D013583
13582	A02.835.583.443.800.800	Synovial Fluid	D013582
7719	A02.835.583.475	Knee Joint	D007719
8592	A02.835.583.475.590	Menisci, Tibial	D008592
8023	A02.835.583.512	Ligaments, Articular	D008023
16118	A02.835.583.512.100	Anterior Cruciate Ligament	D016118
17885	A02.835.583.512.162	Collateral Ligaments	D017885
17844	A02.835.583.512.162.500	Lateral Ligament, Ankle	D017844
17888	A02.835.583.512.162.600	Medial Collateral Ligament, Knee	D017888
17843	A02.835.583.512.287	Ligamentum Flavum	D017843
17846	A02.835.583.512.350	Longitudinal Ligaments	D017846
17847	A02.835.583.512.475	Patellar Ligament	D017847
16119	A02.835.583.512.600	Posterior Cruciate Ligament	D016119
53401	A02.835.583.512.900	Volar Plate	D053401
11631	A02.835.583.656	Pubic Symphysis	D011631
12446	A02.835.583.707	Sacroiliac Joint	D012446
12785	A02.835.583.748	Shoulder Joint	D012785
13247	A02.835.583.781	Sternoclavicular Joint	D013247
13248	A02.835.583.790	Sternocostal Joints	D013248
13704	A02.835.583.861	Temporomandibular Joint	D013704
19224	A02.835.583.861.900	Temporomandibular Joint Disk	D019224
21801	A02.835.583.979	Zygapophyseal Joint	D021801
13710	A02.880	Tendons	D013710
125	A02.880.176	Achilles Tendon	D000125
17847	A02.880.438	Patellar Ligament	D017847
17006	A02.880.700	Rotator Cuff	D017006
4064	A03	Digestive System	D004064
1659	A03.159	Biliary Tract	D001659
1652	A03.159.183	Bile Ducts	D001652
17734	A03.159.183.079	Bile Ducts, Extrahepatic	D017734
3135	A03.159.183.079.300	Common Bile Duct	D003135
14670	A03.159.183.079.300.950	Ampulla of Vater	D014670
9803	A03.159.183.079.300.950.600	Sphincter of Oddi	D009803
3549	A03.159.183.079.450	Cystic Duct	D003549
6500	A03.159.183.079.600	Hepatic Duct, Common	D006500
1653	A03.159.183.158	Bile Ducts, Intrahepatic	D001653
1648	A03.159.183.158.125	Bile Canaliculi	D001648
5704	A03.159.439	Gallbladder	D005704
41981	A03.556	Gastrointestinal Tract	D041981
7422	A03.556.124	Intestines	D007422
7413	A03.556.124.369	Intestinal Mucosa	D007413
20895	A03.556.124.369.290	Enterocytes	D020895
20397	A03.556.124.369.320	Goblet Cells	D020397
19879	A03.556.124.369.700	Paneth Cells	D019879
7420	A03.556.124.526	Intestine, Large	D007420
1003	A03.556.124.526.070	Anal Canal	D001003
2432	A03.556.124.526.209	Cecum	D002432
1065	A03.556.124.526.209.290	Appendix	D001065
3106	A03.556.124.526.356	Colon	D003106
44682	A03.556.124.526.356.333	Colon, Ascending	D044682
44683	A03.556.124.526.356.500	Colon, Descending	D044683
12809	A03.556.124.526.356.668	Colon, Sigmoid	D012809
44684	A03.556.124.526.356.834	Colon, Transverse	D044684
12007	A03.556.124.526.767	Rectum	D012007
7421	A03.556.124.684	Intestine, Small	D007421
4386	A03.556.124.684.124	Duodenum	D004386
14670	A03.556.124.684.124.236	Ampulla of Vater	D014670
9803	A03.556.124.684.124.236.572	Sphincter of Oddi	D009803
2011	A03.556.124.684.124.322	Brunner Glands	D002011
7082	A03.556.124.684.249	Ileum	D007082
7080	A03.556.124.684.249.400	Ileocecal Valve	D007080
8467	A03.556.124.684.249.612	Meckel Diverticulum	D008467
7583	A03.556.124.684.500	Jejunum	D007583
41741	A03.556.249	Lower Gastrointestinal Tract	D041741
7082	A03.556.249.124	Ileum	D007082
7080	A03.556.249.124.400	Ileocecal Valve	D007080
8467	A03.556.249.124.612	Meckel Diverticulum	D008467
7420	A03.556.249.249	Intestine, Large	D007420
1003	A03.556.249.249.070	Anal Canal	D001003
2432	A03.556.249.249.209	Cecum	D002432
1065	A03.556.249.249.209.290	Appendix	D001065
3106	A03.556.249.249.356	Colon	D003106
44682	A03.556.249.249.356.333	Colon, Ascending	D044682
44683	A03.556.249.249.356.500	Colon, Descending	D044683
12809	A03.556.249.249.356.668	Colon, Sigmoid	D012809
44684	A03.556.249.249.356.834	Colon, Transverse	D044684
12007	A03.556.249.249.767	Rectum	D012007
7583	A03.556.249.750	Jejunum	D007583
9055	A03.556.500	Mouth	D009055
3817	A03.556.500.379	Dentition	D003817
12469	A03.556.500.760	Salivary Glands	D012469
10306	A03.556.500.760.464	Parotid Gland	D010306
18987	A03.556.500.760.640	Salivary Ducts	D018987
12470	A03.556.500.760.650	Salivary Glands, Minor	D012470
13361	A03.556.500.760.687	Sublingual Gland	D013361
13363	A03.556.500.760.812	Submandibular Gland	D013363
54838	A03.556.500.760.906	von Ebner Glands	D054838
14059	A03.556.500.885	Tongue	D014059
8035	A03.556.500.885.431	Lingual Frenum	D008035
13650	A03.556.500.885.779	Taste Buds	D013650
10614	A03.556.750	Pharynx	D010614
41742	A03.556.875	Upper Gastrointestinal Tract	D041742
4386	A03.556.875.249	Duodenum	D004386
14670	A03.556.875.249.160	Ampulla of Vater	D014670
9803	A03.556.875.249.160.572	Sphincter of Oddi	D009803
2011	A03.556.875.249.322	Brunner Glands	D002011
4947	A03.556.875.500	Esophagus	D004947
49631	A03.556.875.500.360	Esophageal Sphincter, Upper	D049631
4943	A03.556.875.500.414	Esophagogastric Junction	D004943
49630	A03.556.875.500.414.350	Esophageal Sphincter, Lower	D049630
13270	A03.556.875.875	Stomach	D013270
2299	A03.556.875.875.163	Cardia	D002299
4943	A03.556.875.875.330	Esophagogastric Junction	D004943
49630	A03.556.875.875.330.350	Esophageal Sphincter, Lower	D049630
5748	A03.556.875.875.419	Gastric Fundus	D005748
5753	A03.556.875.875.440	Gastric Mucosa	D005753
19872	A03.556.875.875.440.150	Chief Cells, Gastric	D019872
4759	A03.556.875.875.440.250	Enterochromaffin Cells	D004759
19863	A03.556.875.875.440.300	Gastrin-Secreting Cells	D019863
10295	A03.556.875.875.440.708	Parietal Cells, Gastric	D010295
19864	A03.556.875.875.440.854	Somatostatin-Secreting Cells	D019864
18530	A03.556.875.875.578	Gastric Stump	D018530
11706	A03.556.875.875.716	Pyloric Antrum	D011706
11708	A03.556.875.875.799	Pylorus	D011708
8099	A03.620	Liver	D008099
1653	A03.620.150	Bile Ducts, Intrahepatic	D001653
1648	A03.620.150.125	Bile Canaliculi	D001648
10179	A03.734	Pancreas	D010179
7515	A03.734.414	Islets of Langerhans	D007515
50416	A03.734.414.065	Glucagon-Secreting Cells	D050416
50417	A03.734.414.131	Insulin-Secreting Cells	D050417
50418	A03.734.414.587	Pancreatic Polypeptide-Secreting Cells	D050418
19864	A03.734.414.793	Somatostatin-Secreting Cells	D019864
46790	A03.734.540	Pancreas, Exocrine	D046790
10183	A03.734.667	Pancreatic Ducts	D010183
12137	A04	Respiratory System	D012137
7830	A04.329	Larynx	D007830
5931	A04.329.364	Glottis	D005931
14827	A04.329.364.737	Vocal Cords	D014827
7817	A04.329.591	Laryngeal Cartilages	D007817
1193	A04.329.591.085	Arytenoid Cartilage	D001193
3413	A04.329.591.211	Cricoid Cartilage	D003413
4825	A04.329.591.411	Epiglottis	D004825
13957	A04.329.591.870	Thyroid Cartilage	D013957
7820	A04.329.597	Laryngeal Mucosa	D007820
20397	A04.329.597.320	Goblet Cells	D020397
7821	A04.329.604	Laryngeal Muscles	D007821
8168	A04.411	Lung	D008168
1980	A04.411.125	Bronchi	D001980
55745	A04.411.125.500	Bronchioles	D055745
11650	A04.411.715	Pulmonary Alveoli	D011650
15824	A04.411.715.025	Blood-Air Barrier	D015824
9666	A04.531	Nose	D009666
9295	A04.531.378	Nasal Bone	D009295
55171	A04.531.413	Nasal Cartilages	D055171
9296	A04.531.449	Nasal Cavity	D009296
9297	A04.531.520	Nasal Mucosa	D009297
20397	A04.531.520.320	Goblet Cells	D020397
9831	A04.531.520.573	Olfactory Mucosa	D009831
18034	A04.531.520.573.580	Olfactory Receptor Neurons	D018034
9300	A04.531.591	Nasal Septum	D009300
55172	A04.531.591.469	Vomer	D055172
10256	A04.531.621	Paranasal Sinuses	D010256
5005	A04.531.621.267	Ethmoid Sinus	D005005
5626	A04.531.621.387	Frontal Sinus	D005626
8443	A04.531.621.578	Maxillary Sinus	D008443
13101	A04.531.621.827	Sphenoid Sinus	D013101
14420	A04.531.898	Turbinates	D014420
10614	A04.623	Pharynx	D010614
7013	A04.623.490	Hypopharynx	D007013
9305	A04.623.557	Nasopharynx	D009305
234	A04.623.557.500	Adenoids	D000234
9960	A04.623.603	Oropharynx	D009960
14066	A04.623.603.925	Palatine Tonsil	D014066
10609	A04.623.617	Pharyngeal Muscles	D010609
49631	A04.623.617.360	Esophageal Sphincter, Upper	D049631
55158	A04.623.617.680	Velopharyngeal Sphincter	D055158
10994	A04.716	Pleura	D010994
20545	A04.760	Respiratory Mucosa	D020545
20397	A04.760.259	Goblet Cells	D020397
7820	A04.760.520	Laryngeal Mucosa	D007820
9297	A04.760.600	Nasal Mucosa	D009297
9831	A04.760.600.640	Olfactory Mucosa	D009831
18034	A04.760.600.640.640	Olfactory Receptor Neurons	D018034
14132	A04.889	Trachea	D014132
14566	A05	Urogenital System	D014566
5835	A05.360	Genitalia	D005835
5836	A05.360.319	Genitalia, Female	D005836
290	A05.360.319.114	Adnexa Uteri	D000290
1956	A05.360.319.114.170	Broad Ligament	D001956
5187	A05.360.319.114.373	Fallopian Tubes	D005187
10053	A05.360.319.114.630	Ovary	D010053
3338	A05.360.319.114.630.278	Corpus Luteum	D003338
8184	A05.360.319.114.630.278.400	Luteal Cells	D008184
6080	A05.360.319.114.630.535	Ovarian Follicle	D006080
15571	A05.360.319.114.630.535.150	Follicular Fluid	D015571
6107	A05.360.319.114.630.535.200	Granulosa Cells	D006107
54885	A05.360.319.114.630.535.200.500	Cumulus Cells	D054885
13799	A05.360.319.114.630.535.400	Theca Cells	D013799
12404	A05.360.319.114.803	Round Ligament	D012404
14599	A05.360.319.679	Uterus	D014599
2584	A05.360.319.679.256	Cervix Uteri	D002584
4717	A05.360.319.679.490	Endometrium	D004717
3656	A05.360.319.679.490.373	Decidua	D003656
33301	A05.360.319.679.490.373.500	Deciduoma	D033301
9215	A05.360.319.679.690	Myometrium	D009215
14621	A05.360.319.779	Vagina	D014621
6924	A05.360.319.779.479	Hymen	D006924
14844	A05.360.319.887	Vulva	D014844
1472	A05.360.319.887.220	Bartholin's Glands	D001472
2987	A05.360.319.887.436	Clitoris	D002987
5837	A05.360.444	Genitalia, Male	D005837
2030	A05.360.444.123	Bulbourethral Glands	D002030
4543	A05.360.444.251	Ejaculatory Ducts	D004543
4822	A05.360.444.371	Epididymis	D004822
10413	A05.360.444.492	Penis	D010413
52816	A05.360.444.492.362	Foreskin	D052816
14521	A05.360.444.492.726	Urethra	D014521
11467	A05.360.444.575	Prostate	D011467
12611	A05.360.444.661	Scrotum	D012611
12669	A05.360.444.713	Seminal Vesicles	D012669
13085	A05.360.444.777	Spermatic Cord	D013085
13737	A05.360.444.849	Testis	D013737
7985	A05.360.444.849.513	Leydig Cells	D007985
12152	A05.360.444.849.600	Rete Testis	D012152
12671	A05.360.444.849.700	Seminiferous Tubules	D012671
1814	A05.360.444.849.700.349	Blood-Testis Barrier	D001814
12670	A05.360.444.849.700.700	Seminiferous Epithelium	D012670
12708	A05.360.444.849.789	Sertoli Cells	D012708
14649	A05.360.444.930	Vas Deferens	D014649
5854	A05.360.490	Germ Cells	D005854
10063	A05.360.490.690	Ovum	D010063
9865	A05.360.490.690.680	Oocytes	D009865
9867	A05.360.490.690.700	Oogonia	D009867
15044	A05.360.490.690.950	Zona Pellucida	D015044
15053	A05.360.490.690.970	Zygote	D015053
13094	A05.360.490.890	Spermatozoa	D013094
13077	A05.360.490.890.820	Sperm Head	D013077
177	A05.360.490.890.820.100	Acrosome	D000177
32961	A05.360.490.890.830	Sperm Midpiece	D032961
13082	A05.360.490.890.840	Sperm Tail	D013082
13087	A05.360.490.890.860	Spermatids	D013087
13090	A05.360.490.890.880	Spermatocytes	D013090
13093	A05.360.490.890.900	Spermatogonia	D013093
6066	A05.360.576	Gonads	D006066
10053	A05.360.576.497	Ovary	D010053
13737	A05.360.576.782	Testis	D013737
14551	A05.810	Urinary Tract	D014551
7668	A05.810.453	Kidney	D007668
7672	A05.810.453.324	Kidney Cortex	D007672
7678	A05.810.453.324.359	Kidney Glomerulus	D007678
50533	A05.810.453.324.359.224	Glomerular Basement Membrane	D050533
7606	A05.810.453.324.359.520	Juxtaglomerular Apparatus	D007606
50527	A05.810.453.324.359.620	Mesangial Cells	D050527
5920	A05.810.453.324.359.620.500	Glomerular Mesangium	D005920
50199	A05.810.453.324.359.720	Podocytes	D050199
7679	A05.810.453.466	Kidney Medulla	D007679
7682	A05.810.453.537	Kidney Pelvis	D007682
7670	A05.810.453.537.503	Kidney Calices	D007670
9399	A05.810.453.736	Nephrons	D009399
7678	A05.810.453.736.520	Kidney Glomerulus	D007678
50533	A05.810.453.736.520.224	Glomerular Basement Membrane	D050533
7606	A05.810.453.736.520.520	Juxtaglomerular Apparatus	D007606
50527	A05.810.453.736.520.620	Mesangial Cells	D050527
5920	A05.810.453.736.520.620.500	Glomerular Mesangium	D005920
50199	A05.810.453.736.520.720	Podocytes	D050199
7684	A05.810.453.736.560	Kidney Tubules	D007684
50476	A05.810.453.736.560.254	Bowman Capsule	D050476
7685	A05.810.453.736.560.510	Kidney Tubules, Collecting	D007685
7686	A05.810.453.736.560.540	Kidney Tubules, Distal	D007686
7687	A05.810.453.736.560.570	Kidney Tubules, Proximal	D007687
8138	A05.810.453.736.560.610	Loop of Henle	D008138
14513	A05.810.776	Ureter	D014513
14521	A05.810.876	Urethra	D014521
1743	A05.810.890	Urinary Bladder	D001743
4703	A06	Endocrine System	D004703
2838	A06.224	Chromaffin System	D002838
19439	A06.224.161	Chromaffin Cells	D019439
2837	A06.224.161.500	Chromaffin Granules	D002837
4759	A06.224.358	Enterochromaffin Cells	D004759
19861	A06.224.365	Enterochromaffin-like Cells	D019861
10220	A06.224.636	Para-Aortic Bodies	D010220
10233	A06.224.736	Paraganglia, Chromaffin	D010233
19858	A06.390	Enteroendocrine Cells	D019858
4759	A06.390.021	Enterochromaffin Cells	D004759
19861	A06.390.043	Enterochromaffin-like Cells	D019861
19863	A06.390.065	Gastrin-Secreting Cells	D019863
50416	A06.390.087	Glucagon-Secreting Cells	D050416
50417	A06.390.131	Insulin-Secreting Cells	D050417
50418	A06.390.650	Pancreatic Polypeptide-Secreting Cells	D050418
19864	A06.390.825	Somatostatin-Secreting Cells	D019864
4702	A06.407	Endocrine Glands	D004702
311	A06.407.071	Adrenal Glands	D000311
302	A06.407.071.140	Adrenal Cortex	D000302
